Component Pins:
Owner   Type  Dir         Value  Name
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-16
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-16-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-16-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-17
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-17-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-17-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-18
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-18-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-18-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-19
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-19-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-19-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-20
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-20-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-20-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-21
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-21-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-21-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-22
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-22-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-22-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-23
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-23-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-23-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-00
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-00-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-01
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-01-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-02
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-02-not
